coches,1,ferrari,medios
coches,2,mercedes,duros
coches,3,ferrari,blandos
coches,4,honda,duros
coches,5,renault,duros
coches,6,honda,duros
coches,7,mercedes,medios
coches,8,ferrari,fullWet
coches,9,renault,medios
coches,10,honda,fullWet
coches,11,mercedes,inter
coches,12,ferrari,medios
pilotos,1,Marcos,Argüelles,España,1,25
pilotos,2,Fernando,Alonso,España,2,18
pilotos,3,Carlos,Sainz,España,3,15
pilotos,4,Mario,Bros,Italia,4,12
pilotos,5,Max,Verstappen,Holanda,5,10
pilotos,6,Charles,Leclerc,Mónaco,6,8
pilotos,7,Lance,Stroll,Canadá,7,6
pilotos,8,Pedro,Sánchez,España,8,4
pilotos,9,Donald,Trump,EEUU,9,2
pilotos,10,Joe,Biden,EEUU,10,1
pilotos,11,Kamala,Harris,EEUU,11,0
pilotos,12,Marc,Márquez,España,12,0
escuderias,Ferrari,1,3,84
escuderias,President,9,10,3
escuderias,RedBull,4,5,30
escuderias,Repsol,2,12,18
carreras,1,"Japanese Grand Prix","Suzuka Circuit",Japon,lluvia
carreras,2,"Emilia Romagna Grand Prix","Autodromo Enzo e Dino Ferrari",Italia,calor
resultadosCarreras,1,1,2024-12-19,1,25
resultadosCarreras,1,2,2024-12-19,2,18
resultadosCarreras,1,3,2024-12-19,3,15
resultadosCarreras,1,4,2024-12-19,4,12
resultadosCarreras,1,5,2024-12-19,5,10
resultadosCarreras,1,6,2024-12-19,6,8
resultadosCarreras,1,7,2024-12-19,7,6
resultadosCarreras,1,8,2024-12-19,8,4
resultadosCarreras,1,9,2024-12-19,9,2
resultadosCarreras,1,10,2024-12-19,10,1
resultadosCarreras,1,11,2024-12-19,11,0
resultadosCarreras,1,12,2024-12-19,12,0
resultadosCarreras,2,1,2024-12-20,2,18
resultadosCarreras,2,2,2024-12-20,6,8
resultadosCarreras,2,3,2024-12-20,9,2
resultadosCarreras,2,4,2024-12-20,7,6
resultadosCarreras,2,5,2024-12-20,11,0
resultadosCarreras,2,6,2024-12-20,8,4
resultadosCarreras,2,7,2024-12-20,12,0
resultadosCarreras,2,8,2024-12-20,4,12
resultadosCarreras,2,9,2024-12-20,1,25
resultadosCarreras,2,10,2024-12-20,10,1
resultadosCarreras,2,11,2024-12-20,5,10
resultadosCarreras,2,12,2024-12-20,3,15
